William B Hartsfield-Atlanta Intl,	ATL	,6094186,1508813,0.24758236785027565,44.06381373967483
Denver Intl,	DEN	,3335222,735724,0.22059221245242447,42.71730703361587
Dallas-Fort Worth International,	DFW	,5745593,1125120,0.1958231291356697,44.23481850824801
Newark Intl,	EWR	,2708414,794275,0.29326203453386374,53.74905165087659
McCarran International,	LAS	,2629198,615127,0.23395993759313677,39.70019361855357
Los Angeles International,	LAX	,4086930,1017758,0.24902750964660517,39.10703133750852
LaGuardia,	LGA	,2292800,602111,0.2626094731332868,47.60352825309619
Chicago O'Hare International,	ORD	,6638035,1654939,0.24931158091212233,51.711570637951006
Phoenix Sky Harbor International,	PHX	,3497764,767364,0.2193870141038675,38.26371448230566
San Francisco International,	SFO	,2725676,793525,0.2911296133509632,46.68837528748307
