0	,22618,160542,645988,NaN
1	,2894,46324,256486,35.0528883516104
10	,136676,1380173,7275545,38.04575440904872
11	,139959,1579884,7760892,38.44312683716019
12	,139226,1702330,7970939,39.52557905928933
13	,144360,1877400,8163743,41.295390966229895
14	,134900,1749383,7264543,43.18202989282507
15	,147204,1997089,7594934,43.789861643622295
16	,153786,2052052,7540818,45.169252533561526
17	,177896,2511856,8542197,46.875232895516305
18	,155948,2312446,7773570,47.23669093245853
19	,137701,2038285,6717445,47.66128534527802
2	,885,13371,74320,NaN
20	,110994,1744384,5855306,46.79452402681978
21	,66630,1083002,3831538,44.84416741612665
22	,29836,451592,1814556,42.56030221970274
23	,10761,191811,829073,38.96861493866358
3	,879,16070,78476,NaN
4	,815,13320,73244,NaN
5	,13487,62789,612889,44.827326442529746
6	,134342,778819,7122057,39.38672528533587
7	,152457,1215147,8793160,37.943295749403156
8	,146209,1499257,8863816,37.23150667297201
9	,142861,1505644,8079434,37.326029924736524
